Task finished: Unit1 | Task3 | Batch20 | 12682.7
Task started: Unit3 | Task4 | Batch20 | 12682.7
Task finished: Unit3 | Task4 | Batch20 | 12834.7
Task started: Unit2 | Task5 | Batch20 | 12834.8
Task finished: Unit2 | Task5 | Batch20 | 12876.8
Task started: Unit1 | Task6 | Batch20 | 12876.9
Task finished: Unit1 | Task6 | Batch20 | 12903.9
Task started: Unit2 | Task7 | Batch20 | 12903.9
Task finished: Unit2 | Task7 | Batch20 | 12955.9
Task started: Unit3 | Task8 | Batch20 | 12955.9
Task finished: Unit3 | Task8 | Batch20 | 13052.9
Task started: Unit1 | Task9 | Batch20 | 13053.0
Task finished: Unit1 | Task9 | Batch20 | 13070.0
Batch20 done
